album_id,album_name,album_label,album_popularity,date,artists_id,artists_name,album_genre
0Rkv5iqjF2uenfL0OVB8hg,Aashiqui 2,T-Series,70,4/6/2013,"['09UmIX92EUH9hAK4bxvHx6', '0E02VcvA5p1ndkLdqWD5JB', '2kkQthS9OLpK4UqNWYqoVl']","['Mithoon', 'Ankit Tiwari', 'Jeet Gannguli']","['desi pop', 'filmi', 'modern bollywood', 'pakistani pop', 'sufi']"
691IHRPkhwvV6GO2jnVKSF,Tanhaji - The Unsung Warrior,T-Series,45,1/8/2020,"['4kTETBi8QdOwlpIuPHdSAj', '5fvTHKKzW44A9867nPDocM', '1SyKki7JI1AZNKwgNMkn25']","['Mehul Vyas', 'Ajay-Atul', 'Sachet-Parampara']","['classic bollywood', 'desi pop', 'filmi', 'marathi pop', 'modern bollywood', 'sufi']"
5ZnhEAXHIt3lomWlfswwnv,Baaghi 3,T-Series,45,3/7/2020,['0LyfQWJT6nXafLPZqxe9Of'],['Various Artists'],"['classic bollywood', 'desi pop', 'filmi', 'modern bollywood', 'sufi']"
50FHINh9xisewZgfucGbVL,Street Dancer 3D,T-Series,56,2/13/2020,['0LyfQWJT6nXafLPZqxe9Of'],['Various Artists'],"['chutney', 'classic bollywood', 'desi hip hop', 'desi pop', 'desi trap', 'filmi', 'gujarati pop', 'haryanvi pop', 'indian folk', 'modern bollywood', 'pakistani hip hop', 'punjabi hip hop', 'punjabi pop', 'sufi', 'tamil pop']"
1qvic7ic93zptwsWs2nvhU,Shubh Mangal Zyada Saavdhan,T-Series,55,2/24/2020,['0LyfQWJT6nXafLPZqxe9Of'],['Various Artists'],"['bhajan', 'classic bollywood', 'desi hip hop', 'desi pop', 'filmi', 'ghazal', 'modern bollywood', 'sufi']"
32UrHUAIsQrWEnGBoOudBd,Malang - Unleash The Madness,T-Series,50,3/13/2020,['0LyfQWJT6nXafLPZqxe9Of'],['Various Artists'],"['desi pop', 'filmi', 'modern bollywood', 'pakistani pop', 'sufi']"
4c89Lp5u0qqH82Ci0X4rYx,Chhapaak,Zee Music Company,23,1/14/2020,['0L5GV6LN8SWWUWIdBbTLTZ'],['Shankar-Ehsaan-Loy'],"['desi pop', 'filmi', 'modern bollywood']"
6IXfWhC7omotM4lt0ROmEr,Love Aaj Kal (Original Motion Picture Soundtrack),Sony Music Entertainment India Pvt. Ltd.,70,2/14/2020,['1wRPtKGflJrBx9BmLsSwlU'],['Pritam'],"['desi hip hop', 'desi pop', 'desi trap', 'filmi', 'gujarati pop', 'hindi hip hop', 'indian fusion', 'indian instrumental', 'modern bollywood', 'pakistani pop', 'sufi']"
4G3LgNCIT4yHn2pF4AfrsR,Jawaani Jaaneman (Original Motion Picture Soundtrack),Tips Industries Ltd,58,1/15/2020,['0LyfQWJT6nXafLPZqxe9Of'],['Various Artists'],"['bhangra', 'classic bhangra', 'classic bollywood', 'desi hip hop', 'desi pop', 'filmi', 'modern bollywood', 'punjabi pop', 'sufi']"
1YTq9ITQJ3Mj4uMj3GECDM,Thappad,T-Series,39,2/28/2020,['6hzngLO20cX5IGqT0hVv1G'],['Anurag Saikia'],"['indian indie', 'indian singer-songwriter']"
28QndjXQV1HSKVYLyMfVia,Panga,Saregama,38,1/21/2020,"['0L5GV6LN8SWWUWIdBbTLTZ', '3UpmjPgIFSGqnxXuiwD014']","['Shankar-Ehsaan-Loy', 'Javed Akhtar']","['desi pop', 'filmi', 'indian folk', 'modern bollywood', 'punjabi pop', 'sufi', 'tamil pop']"
0z7bJ6UpjUw8U4TATtc5Ku,War,YRF Music,48,9/30/2019,"['6Mv8GjQa7LKUGCAqa9qqdb', '0LOdQDBSB8NYPykI3REezj']","['Vishal-Shekhar', 'Sanchit Balhara']","['desi pop', 'filmi', 'modern bollywood', 'pakistani pop', 'sufi']"
6zOb6Qe1dDiZTKNlUhWQyL,Saaho,T-Series,19,8/28/2019,['0LyfQWJT6nXafLPZqxe9Of'],['Various Artists'],"['desi hip hop', 'desi pop', 'desi trap', 'filmi', 'haryanvi pop', 'modern bollywood', 'sufi', 'tamil pop']"
3uuu6u13U0KeVQsZ3CZKK4,Kabir Singh,T-Series,72,6/14/2019,['0LyfQWJT6nXafLPZqxe9Of'],['Various Artists'],"['desi pop', 'filmi', 'modern bollywood', 'sufi']"
31U8tMvX1T5hcmAZrxX9sn,Uri - The Surgical Strike,Zee Music Company,60,1/4/2019,['465OXuCU8YZNmVG1leLwQ9'],['Shashwat Sachdev'],"['bhangra', 'desi hip hop', 'desi pop', 'filmi', 'modern bollywood', 'sufi']"
6Jl2MfI7pB2hWKvTUc5DbA,Bharat,T-Series,48,5/17/2019,"['6Mv8GjQa7LKUGCAqa9qqdb', '37dW5exIcXrrHEMmiItJas', '6Zp0PtxiTdumQ2O5CGx7vU']","['Vishal-Shekhar', 'Julius Packiam', 'Ali Abbas Zafar']","['classic bollywood', 'desi pop', 'filmi', 'modern bollywood', 'sufi']"
02aELzChtGQdlNw9Eikrnt,Good Newwz,Zee Music Company,56,12/26/2019,['0LyfQWJT6nXafLPZqxe9Of'],['Various Artists'],"['bhangra', 'big room', 'dance pop', 'desi hip hop', 'desi pop', 'desi trap', 'edm', 'electro house', 'electropop', 'filmi', 'haryanvi pop', 'indian edm', 'modern bollywood', 'pop', 'pop dance', 'punjabi pop', 'slap house', 'tropical house']"
2U6lo5hLVsWCFFR5zmCvTV,Mission Mangal,Zee Music Company,42,9/12/2019,"['7HCqGPJcQTyGJ2yqntbuyr', '4f7KfxeHq9BiylGmyXepGt']","['Amit Trivedi', 'Tanishk Bagchi']","['desi pop', 'filmi', 'kashmiri pop', 'modern bollywood', 'pakistani pop', 'rajasthani pop', 'sufi']"
61yDeessJaxmW5NiWFVcxK,Housefull 4,T-Series,44,10/23/2019,['0LyfQWJT6nXafLPZqxe9Of'],['Various Artists'],"['classic bollywood', 'desi hip hop', 'desi pop', 'filmi', 'modern bollywood', 'sufi']"
3UhZwBv1QvSLG1OFQXx930,Gully Boy,Zee Music Company,63,1/24/2019,['0LyfQWJT6nXafLPZqxe9Of'],['Various Artists'],"['bhangra', 'classic punjabi pop', 'desi hip hop', 'desi pop', 'desi trap', 'filmi', 'hindi hip hop', 'hindi indie', 'indian electronic', 'indian folk', 'indian fusion', 'indian indie', 'indian rock', 'indian singer-songwriter', 'kannada pop', 'kashmiri pop', 'marathi hip hop', 'modern bollywood', 'new delhi indie', 'pakistani pop', 'punjabi hip hop', 'punjabi pop', 'sufi', 'world fusion']"
2aS0spB6fGbe8Z8cYcfru7,Dabangg 3,T-Series,45,11/13/2019,['3qdu3XhzSzkRhbwdFKnSuw'],['Sajid-Wajid'],"['classic bollywood', 'desi hip hop', 'desi pop', 'desi trap', 'filmi', 'haryanvi pop', 'indian folk', 'modern bollywood', 'sufi']"
2uZYzAlfetvbdWlpSfeNk0,Sanju,T-Series,45,6/29/2018,"['6wnx3CHIWmuaOWubIXn6UE', '0aXLGxJ65wok0y1bVG6flg', '1mYsTxnqsietFxj1OgoGbG']","['Rohan Rohan', 'Vikram Montrose', 'A.R. Rahman']","['classic bollywood', 'desi pop', 'filmi', 'indian folk', 'indian fusion', 'indian indie', 'modern bollywood', 'sufi']"
7mZB5aUcjoHfDKSQtDRXrf,Padmaavat,T-Series,60,1/21/2018,['5eWpthiGD66CLD4bQjvIBp'],['Sanjay Leela Bhansali'],"['classic bollywood', 'desi pop', 'filmi', 'modern bollywood', 'sufi']"
06l61IvDCVAeThVR8ajgxj,Andhadhun,Zee Music Company,60,10/3/2018,"['7HCqGPJcQTyGJ2yqntbuyr', '5UdFr0GeO7jKIaNIJgwB36', '2WrKNI4oe46x5gpMkPPwW2']","['Amit Trivedi', 'Raftaar', 'Girish Nakod']","['desi hip hop', 'desi pop', 'desi trap', 'filmi', 'hindi hip hop', 'modern bollywood', 'sufi']"
3dynRTuVOrAr5O7srr2txN,Simmba,T-Series,53,12/27/2018,['0LyfQWJT6nXafLPZqxe9Of'],['Various Artists'],"['classic bollywood', 'classic pakistani pop', 'desi hip hop', 'desi pop', 'filmi', 'german reggae', 'modern bollywood', 'qawwali', 'sufi', 'tamil pop']"
1X2eKKpOOcbDEfXrR4cDhA,Thugs of Hindostan - Hindi,YRF Music,34,10/31/2018,['5fvTHKKzW44A9867nPDocM'],['Ajay-Atul'],"['classic bollywood', 'desi pop', 'filmi', 'modern bollywood', 'sufi']"
4qTiNHKwU2ldMiOMMMP8z5,Race 3 (Original Motion Picture Soundtrack),Tips Industries Ltd,49,6/15/2018,['0LyfQWJT6nXafLPZqxe9Of'],['Various Artists'],"['classic pakistani pop', 'desi hip hop', 'desi pop', 'filmi', 'modern bollywood', 'sufi', 'tollywood']"
2zVzYeNSylXPUUungjtXz4,Baaghi 2,T-Series,47,3/20/2018,['0LyfQWJT6nXafLPZqxe9Of'],['Various Artists'],"['classic pakistani pop', 'desi pop', 'filmi', 'modern bollywood', 'sufi']"
3udowhwx7kVR1qIo5qAX8X,Hichki,YRF Music,42,2/20/2018,['74OaRjmyh0XyRZsQQQ5l7c'],['Jasleen Royal'],"['desi pop', 'filmi', 'indian singer-songwriter', 'modern bollywood', 'pakistani pop', 'sufi']"
3JV6qkpTBbwUL0gSDPc6bA,Badhaai Ho,T-Series,49,10/18/2018,['0LyfQWJT6nXafLPZqxe9Of'],['Various Artists'],"['desi pop', 'filmi', 'modern bollywood', 'sufi']"
0UmtPWWsNVt38OQu8LcVLM,Padman,Zee Music Company,47,12/26/2017,['7HCqGPJcQTyGJ2yqntbuyr'],['Amit Trivedi'],"['desi hip hop', 'desi pop', 'filmi', 'gujarati pop', 'modern bollywood', 'sufi']"
