track_id,track_name,album_id,album_name,date,artists_id,artists_name,tracks_genres,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
56zZ48jdyY2oDXHVnwg5Di,Tum Hi Ho,0Rkv5iqjF2uenfL0OVB8hg,Aashiqui 2,4/6/2013,['4YRxDV8wJFPHPTeXepOstw'],['Arijit Singh'],"['desi pop', 'filmi', 'modern bollywood']",67,0.528,0.449,5,-6.25,0,0.025,0.785,0,0.122,0.317,94.058,261974
5PvwPy5eRO8BPwpRzCHK3D,Sunn Raha Hai,0Rkv5iqjF2uenfL0OVB8hg,Aashiqui 2,4/6/2013,['0E02VcvA5p1ndkLdqWD5JB'],['Ankit Tiwari'],"['desi pop', 'filmi', 'modern bollywood', 'sufi']",64,0.394,0.641,0,-6.493,0,0.0312,0.276,0,0.0958,0.335,81.932,390223
6UgcN95w7vQxkR8sEFmwHG,Chahun Main Ya Naa,0Rkv5iqjF2uenfL0OVB8hg,Aashiqui 2,4/6/2013,"['3yMmYEklQ7gLOZXEFNd3xr', '4YRxDV8wJFPHPTeXepOstw']","['Palak Muchhal', 'Arijit Singh']","['desi pop', 'filmi', 'modern bollywood', 'sufi']",61,0.645,0.517,9,-6.708,0,0.0273,0.522,3.27E-06,0.0905,0.259,106.906,304900
55eUtE9v3uatR0y0NijM6N,Hum Mar Jayenge,0Rkv5iqjF2uenfL0OVB8hg,Aashiqui 2,4/6/2013,"['0T1CMVkqffHlqEk4BcAph1', '4YRxDV8wJFPHPTeXepOstw']","['Tulsi Kumar', 'Arijit Singh']","['desi pop', 'filmi', 'modern bollywood', 'sufi']",56,0.568,0.508,9,-7.553,1,0.0333,0.737,0,0.103,0.685,86.03,306512
3E9ryvrKP3hUWX79PAakH2,Meri Aashiqui,0Rkv5iqjF2uenfL0OVB8hg,Aashiqui 2,4/6/2013,"['3yMmYEklQ7gLOZXEFNd3xr', '4YRxDV8wJFPHPTeXepOstw']","['Palak Muchhal', 'Arijit Singh']","['desi pop', 'filmi', 'modern bollywood', 'sufi']",55,0.383,0.422,5,-8.219,0,0.0288,0.755,4.15E-06,0.119,0.247,188.109,266070
1ELMyeJLDHUz3cK3XTWgEi,Piya Aaye Na,0Rkv5iqjF2uenfL0OVB8hg,Aashiqui 2,4/6/2013,"['0T1CMVkqffHlqEk4BcAph1', '4fEkbug6kZzzJ8eYX6Kbbp']","['Tulsi Kumar', 'KK']","['desi pop', 'filmi', 'modern bollywood', 'sufi']",55,0.5,0.588,4,-7.66,0,0.0362,0.641,4.52E-05,0.327,0.35,81.973,286120
0WNCYgCd33LnBnw22WFuq8,Bhula Dena,0Rkv5iqjF2uenfL0OVB8hg,Aashiqui 2,4/6/2013,['71oGOxg5ez52Hh1Ye41A98'],['Mustafa Zahid'],"['desi pop', 'filmi', 'modern bollywood', 'pakistani pop', 'sufi']",59,0.515,0.508,4,-6.66,0,0.0297,0.633,0,0.203,0.235,131.731,240723
06zJUeKU5KFy50Cho6pDcr,Aasan Nahin Yahan,0Rkv5iqjF2uenfL0OVB8hg,Aashiqui 2,4/6/2013,['4YRxDV8wJFPHPTeXepOstw'],['Arijit Singh'],"['desi pop', 'filmi', 'modern bollywood']",56,0.549,0.437,10,-7.169,0,0.0263,0.766,0.000407,0.133,0.236,93.976,214470
2kRzgmBlmhvFvCEgMHltWz,Sunn Raha Hai (Female),0Rkv5iqjF2uenfL0OVB8hg,Aashiqui 2,4/6/2013,['0oOet2f43PA68X5RxKobEy'],['Shreya Ghoshal'],"['desi pop', 'filmi', 'modern bollywood', 'sufi']",54,0.482,0.595,9,-5.336,0,0.0289,0.703,0.000203,0.136,0.482,82.066,314700
2iGnFW7m517taq3AJIE6DK,Milne Hai Mujhse Aayi,0Rkv5iqjF2uenfL0OVB8hg,Aashiqui 2,4/6/2013,['4YRxDV8wJFPHPTeXepOstw'],['Arijit Singh'],"['desi pop', 'filmi', 'modern bollywood']",58,0.515,0.707,11,-5.467,0,0.0426,0.0357,0,0.134,0.304,143.752,295798
0TEZDqtGjqPwcaFx3Mzpbz,Aashiqui (The Love Theme),0Rkv5iqjF2uenfL0OVB8hg,Aashiqui 2,4/6/2013,['09UmIX92EUH9hAK4bxvHx6'],['Mithoon'],"['desi pop', 'filmi', 'modern bollywood', 'sufi']",51,0.3,0.0381,8,-20.691,1,0.0327,0.984,0.932,0.116,0.0595,72.332,162366
0d7cAnv2jF9H0pqNhovl7f,Tum Hi Ho (Remix),0Rkv5iqjF2uenfL0OVB8hg,Aashiqui 2,4/6/2013,"['4YRxDV8wJFPHPTeXepOstw', '3qnsN7WTgndwqTiBHelp6S', '7sooPtZ86NLzHd1nlE6xGA']","['Arijit Singh', 'DJ Shadow Dubai', 'Dj Javed']","['desi pop', 'filmi', 'modern bollywood']",45,0.578,0.679,5,-8.268,0,0.0301,0.0698,0.0653,0.0745,0.633,128.007,237338
0cipLbNKqZjOI0ECDeyY8m,Shankara Re Shankara,691IHRPkhwvV6GO2jnVKSF,Tanhaji - The Unsung Warrior,1/8/2020,"['4kTETBi8QdOwlpIuPHdSAj', '5rz9Rq9OG7jQiSm2nmTfd3']","['Mehul Vyas', 'Adarsh Shinde']",['marathi pop'],39,0.645,0.985,10,-3.527,0,0.169,0.291,0,0.0459,0.593,110.027,211859
3yicyn27it5bnHk0WNrNq3,Maay Bhavani,691IHRPkhwvV6GO2jnVKSF,Tanhaji - The Unsung Warrior,1/8/2020,"['19MVxKZZdPj2X0F8pi0OCT', '0oOet2f43PA68X5RxKobEy']","['Sukhwinder Singh', 'Shreya Ghoshal']","['classic bollywood', 'desi pop', 'filmi', 'modern bollywood', 'sufi']",43,0.675,0.785,10,-6.656,1,0.13,0.525,2.60E-05,0.111,0.574,130.002,258786
3HRLPt41jlHSamcpXxmRnJ,Ghamand Kar,691IHRPkhwvV6GO2jnVKSF,Tanhaji - The Unsung Warrior,1/8/2020,"['6WOdPJmexxFINcKMkP2jMG', '1E6arsXf5Fgsnv9YpSzjpE']","['Sachet Tandon', 'Parampara Tandon']","['desi pop', 'modern bollywood']",45,0.468,0.834,6,-4.353,1,0.0583,0.0392,1.04E-05,0.131,0.236,169.982,282823
1q3zh2ToaLHRGsLOFnceTF,Tinak Tinak,691IHRPkhwvV6GO2jnVKSF,Tanhaji - The Unsung Warrior,1/8/2020,['3xU8YsNNkmWSPewlB18NUz'],['Harshdeep Kaur'],"['desi pop', 'filmi', 'modern bollywood', 'sufi']",36,0.464,0.616,2,-5.456,1,0.0299,0.677,0,0.105,0.667,84.666,234568
5JhxOmG68mgLCjyKfvffr4,Dus Bahane 2.0,5ZnhEAXHIt3lomWlfswwnv,Baaghi 3,3/7/2020,"['1xX0K9yaCUHVyVLCVfUAnw', '4xd7mLI7urqrxELaXhAvzw', '4fEkbug6kZzzJ8eYX6Kbbp', '5cB4d4jPYjMT326sjihQ4m', '0T1CMVkqffHlqEk4BcAph1']","['Vishal', 'Shekhar Ravjiani', 'KK', 'Shaan', 'Tulsi Kumar']","['filmi', 'modern bollywood', 'sufi', 'desi pop']",39,0.807,0.913,7,-5.092,1,0.0696,0.0411,0.000956,0.292,0.464,114.045,201655
2UmpdlWtlXnQdlZP1KnD9S,Bhankas,5ZnhEAXHIt3lomWlfswwnv,Baaghi 3,3/7/2020,"['2jqTyPt0UZGrthPF4KMpeN', '04FsFHujpuqonrPXZrEJlK', '00sCATpEvwH48ays7PlQFU']","['Bappi Lahiri', 'Dev Negi', 'Jonita Gandhi']","['classic bollywood', 'desi pop', 'filmi', 'modern bollywood', 'sufi']",42,0.62,0.966,1,-3.72,1,0.334,0.469,1.81E-06,0.0464,0.782,112.969,158467
3neht9bfnLvQwV9jXIWVK9,Do You Love Me,5ZnhEAXHIt3lomWlfswwnv,Baaghi 3,3/7/2020,['3tPQOjkxO3mrYrrgkTeXgH'],['Nikhita Gandhi'],['modern bollywood'],39,0.792,0.72,10,-7.32,0,0.116,0.0143,0.0287,0.0944,0.538,169.99,162435
34gtLtPiZhY6MeUPExHyrz,Get Ready To Fight Reloaded,5ZnhEAXHIt3lomWlfswwnv,Baaghi 3,3/7/2020,"['58L9DePlTLE2D1I9Ohvs63', '6PtoffEX0RiktNdmCeuWkl']","['Pranaay', 'Siddharth Basrur']",['modern bollywood'],41,0.756,0.81,0,-7.637,0,0.0368,0.0471,0.00119,0.166,0.484,98.959,171806
4EGhULsw2QC2IvmUPtmsTB,Faaslon Mein,5ZnhEAXHIt3lomWlfswwnv,Baaghi 3,3/7/2020,['6WOdPJmexxFINcKMkP2jMG'],['Sachet Tandon'],"['desi pop', 'modern bollywood']",35,0.524,0.506,4,-5.748,0,0.0316,0.668,0,0.0999,0.139,116.933,281028
2gEhL7Iwhln4tvbNIAzOJy,Tujhe Rab Mana,5ZnhEAXHIt3lomWlfswwnv,Baaghi 3,3/7/2020,"['3dN9MQpjIyNxyeRfz4EDZe', '5cB4d4jPYjMT326sjihQ4m']","['Rochak Kohli', 'Shaan']","['desi pop', 'modern bollywood', 'filmi', 'sufi']",33,0.42,0.53,7,-9.271,1,0.0833,0.537,0,0.0977,0.433,191.838,299185
56gEEO1y5Yj0y2FthNIhLG,Muqabla,50FHINh9xisewZgfucGbVL,Street Dancer 3D,2/13/2020,"['4RlnRVxKm3jnUzOP4czbIK', '1E6arsXf5Fgsnv9YpSzjpE']","['Yash Narvekar', 'Parampara Tandon']",['modern bollywood'],49,0.804,0.913,0,-3.135,1,0.0933,0.0248,2.84E-05,0.391,0.544,119.993,176125
2J6eJ4OtqTiKSQr3pIwxmD,Garmi (feat. Varun Dhawan),50FHINh9xisewZgfucGbVL,Street Dancer 3D,2/13/2020,"['0y59o4v8uw5crbN9M3JiL1', '5f4QpKfy7ptCHwTqspnSJI', '1P0xN5daAiUEebg0m8pY2O']","['Badshah', 'Neha Kakkar', 'Varun Dhawan']","['desi hip hop', 'desi pop', 'desi trap', 'haryanvi pop', 'modern bollywood', 'filmi']",43,0.788,0.87,9,-5.217,1,0.177,0.123,1.43E-05,0.0692,0.884,109.974,182739
7CY0CmCpSglfUKCBOOiRfw,Illegal Weapon 2.0,50FHINh9xisewZgfucGbVL,Street Dancer 3D,2/13/2020,"['0mJDQBWytBhOh5JB1DOQ1c', '7M3xY5iHSzEtoL3FpqOD75']","['Jasmine Sandlas', 'Garry Sandhu']","['desi pop', 'punjabi pop']",57,0.805,0.919,1,-1.294,1,0.0938,0.101,0.00343,0.0598,0.494,94.993,188606
18YDYRBEh6ZVNv4rPfKYg7,Dua Karo,50FHINh9xisewZgfucGbVL,Street Dancer 3D,2/13/2020,"['4YRxDV8wJFPHPTeXepOstw', '0SWOtgI95g7oVrP9halrmP', '1mBydYMVBECdDmMfE2sEUO']","['Arijit Singh', 'Bohemia', 'Sachin-Jigar']","['desi pop', 'filmi', 'modern bollywood', 'desi hip hop', 'pakistani hip hop', 'punjabi hip hop', 'gujarati pop', 'sufi']",40,0.463,0.828,0,-4.605,0,0.0857,0.124,0,0.141,0.335,170.081,269382
31d3tVd82tx2sjA2VQ3PMZ,Lagdi Lahore Di,50FHINh9xisewZgfucGbVL,Street Dancer 3D,2/13/2020,"['5rQoBDKFnd1n6BkdbgVaRL', '0T1CMVkqffHlqEk4BcAph1']","['Guru Randhawa', 'Tulsi Kumar']","['desi pop', 'modern bollywood', 'filmi', 'sufi']",47,0.786,0.797,6,-4.063,1,0.0414,0.233,0,0.0861,0.453,95.014,215368
3S3z1LLxZLGtEk6XoWhcDE,Hindustani,50FHINh9xisewZgfucGbVL,Street Dancer 3D,2/13/2020,"['1SJOL9HJ08YOn92lFcYf8a', '70B80Lwx2sxti0M1Ng9e8K']","['Shankar Mahadevan', 'Udit Narayan']","['desi pop', 'filmi', 'modern bollywood', 'sufi', 'tamil pop', 'chutney', 'classic bollywood']",40,0.629,0.957,8,-5.466,1,0.0591,0.0351,0.000375,0.273,0.652,147.958,146063
3CB6fb7g8DHYi2UawqGAqC,Bezubaan Kab Se,50FHINh9xisewZgfucGbVL,Street Dancer 3D,2/13/2020,"['6PtoffEX0RiktNdmCeuWkl', '1tqysapcCh1lWEAc9dIFpa', '1mBydYMVBECdDmMfE2sEUO']","['Siddharth Basrur', 'Jubin Nautiyal', 'Sachin-Jigar']","['modern bollywood', 'desi pop', 'filmi', 'gujarati pop', 'sufi']",43,0.747,0.865,7,-5.991,1,0.0451,0.00279,0.00058,0.0764,0.209,124.985,271279
5NuffxzMfqxnpEdm82KwG5,Pind,50FHINh9xisewZgfucGbVL,Street Dancer 3D,2/13/2020,['0liUJ2xG9JRPSrYGZALfgX'],['Gurinder Seagal'],[],31,0.556,0.419,3,-8.946,0,0.0312,0.858,0,0.316,0.237,122.073,336385
13Lx0000yJvTxqVQPkFkux,Nachi Nachi,50FHINh9xisewZgfucGbVL,Street Dancer 3D,2/13/2020,"['3ZxZ03fj3tXBZHZWzvaLSM', '1OPqAyxsQc8mcRmoNBAnVk', '7hVmdlsJp0E2WQIvVl8ngN']","['Neeti Mohan', 'Dhvani Bhanushali', 'Millind Gaba']","['desi pop', 'filmi', 'modern bollywood', 'punjabi pop']",43,0.906,0.955,8,-1.485,1,0.0867,0.0336,0.0003,0.0444,0.824,128.002,199751
73h6xVH5BesEEZi80KlzUl,Gann Deva,50FHINh9xisewZgfucGbVL,Street Dancer 3D,2/13/2020,"['0NErdIJtuKBjtxKmlqaWdj', '1mBydYMVBECdDmMfE2sEUO']","['Divya Kumar', 'Sachin-Jigar']","['desi pop', 'filmi', 'indian folk', 'modern bollywood', 'gujarati pop', 'sufi']",37,0.535,0.709,5,-5.218,0,0.0503,0.13,0,0.115,0.446,126.863,241470
